#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,bspwm,"is the main graphical user interface and window manager."
,picom,"is for transparency and removing screen-tearing."
,urxvt-perls,
,rxvt-unicode,
,rxvt-unicode-terminfo,
,neofetch,"neofetch-terminfo"
A,ttf-jetbrains-mono,"terminal and polybar fonts"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xsetroot,"for setting up things"
,sxhkd,"binds key."
,ttf-joypixels,"is the emoji font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,lxappearance,"is for setting up icons and themes"
,xdo,"simple info inside terminal"
,vifm,"is an extensive terminal file manager that everyone likes."
,feh,"sets the background in bspwm."
A,sublime-text-dev,"favorite editor."
,ed,"is the standard editor!"
,tree,"lists directory contents like trees. Used by vifm."
,calcurse,"is a lightweight terminal-based calendar."
A,dmenu2,"is for starting apps and much more"
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,polkit-gnome,"user-permission-agent"
A,gtk-theme-arc-grey-git,"gives the dark GTK theme used in LARBS."
,neovim,"an tidier vim with some useful features"
A,spotify,"music streaming service."
A,discord,"chat message client."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
A,ttf-font-awesome-4,"font for the top bar."
,ttf-bitstream-vera,"system font"
,ttf-dejavu,"font"
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
A,pulseaudio-equalizer-ladspa,"audio bassboost engine"
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
A,sutils-git,"is an Excel-like terminal spreadsheet manager."
A,htop-vim-git,"provides system usage information and displays processes."
A,xtitle-git,"needed for bspwm."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,rofi,"....."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,polybar,"best bar out there"
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
